Ligand,Ligand_SMILES
P(tBu)3,CC(P(C(C)(C)C)C(C)(C)C)(C)C
P(Ph)3 ,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3
AmPhos,CC(C)(C)P(C(C)(C)C)C1=CC=C(N(C)C)C=C1
P(Cy)3,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3
P(o-Tol)3,CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C
CataCXiumA,CCCCP(C12C[C@@H]3C[C@@H](C[C@H](C2)C3)C1)C45C[C@H]6C[C@@H](C5)C[C@@H](C4)C6
SPhos,COC1=CC=CC(OC)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2
dtbpf,CC(C)(P(C(C)(C)C)[c-]1cccc1)C.CC(C)(P(C(C)(C)C)[c-]2cccc2)C.[Fe+2]
XPhos,CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C
dppf,[c-]1(P(C2=CC=CC=C2)C3=CC=CC=C3)cccc1.[c-]4(P(C5=CC=CC=C5)C6=CC=CC=C6)cccc4.[Fe+2]
Xantphos,CC1(C)C2=C(OC3=C1C=CC=C3P(C4=CC=CC=C4)C5=CC=CC=C5)C(P(C6=CC=CC=C6)C7=CC=CC=C7)=CC=C2
