"ligand_file_name","ligand_SMILES","ligand_stoichiometry","ligand_number_of_atoms","ligand_charge","ligand_multiplicity","ligand_convergence_criteria","ligand_dipole","ligand_molar_mass","ligand_molar_volume","ligand_electronic_spatial_extent","ligand_homo_energy","ligand_lumo_energy","ligand_electronegativity","ligand_hardness","ligand_electrophilicity","ligand_E_scf","ligand_zero_point_correction","ligand_E_thermal_correction","ligand_H_thermal_correction","ligand_G_thermal_correction","ligand_E_zpe","ligand_E","ligand_H","ligand_G","ligand_ES_root_dipole","ligand_ES_root_molar_volume","ligand_ES_root_electronic_spatial_extent","ligand_ES1_transition","ligand_ES1_osc_strength","ligand_ES1_<S**2>","ligand_ES2_transition","ligand_ES2_osc_strength","ligand_ES2_<S**2>","ligand_ES3_transition","ligand_ES3_osc_strength","ligand_ES3_<S**2>","ligand_ES4_transition","ligand_ES4_osc_strength","ligand_ES4_<S**2>","ligand_ES5_transition","ligand_ES5_osc_strength","ligand_ES5_<S**2>","ligand_ES6_transition","ligand_ES6_osc_strength","ligand_ES6_<S**2>","ligand_ES7_transition","ligand_ES7_osc_strength","ligand_ES7_<S**2>","ligand_ES8_transition","ligand_ES8_osc_strength","ligand_ES8_<S**2>","ligand_ES9_transition","ligand_ES9_osc_strength","ligand_ES9_<S**2>","ligand_ES10_transition","ligand_ES10_osc_strength","ligand_ES10_<S**2>","ligand_c_min_atom_number","ligand_c_min_atom","ligand_c_min_atom=N","ligand_c_min_atom=C","ligand_c_min_atom=O","ligand_c_min_Mulliken_charge","ligand_c_min_APT_charge","ligand_c_min_NPA_charge","ligand_c_min_NPA_core","ligand_c_min_NPA_valence","ligand_c_min_NPA_Rydberg","ligand_c_min_NPA_total","ligand_c_min_NMR_shift","ligand_c_min_NMR_anisotropy","ligand_c_min_ES_root_Mulliken_charge","ligand_c_min_ES_root_NPA_charge","ligand_c_min_ES_root_NPA_core","ligand_c_min_ES_root_NPA_valence","ligand_c_min_ES_root_NPA_Rydberg","ligand_c_min_ES_root_NPA_total","ligand_c_min+1_atom_number","ligand_c_min+1_atom","ligand_c_min+1_atom=C","ligand_c_min+1_atom=O","ligand_c_min+1_Mulliken_charge","ligand_c_min+1_APT_charge","ligand_c_min+1_NPA_charge","ligand_c_min+1_NPA_core","ligand_c_min+1_NPA_valence","ligand_c_min+1_NPA_Rydberg","ligand_c_min+1_NPA_total","ligand_c_min+1_NMR_shift","ligand_c_min+1_NMR_anisotropy","ligand_c_min+1_ES_root_Mulliken_charge","ligand_c_min+1_ES_root_NPA_charge","ligand_c_min+1_ES_root_NPA_core","ligand_c_min+1_ES_root_NPA_valence","ligand_c_min+1_ES_root_NPA_Rydberg","ligand_c_min+1_ES_root_NPA_total","ligand_c_max_atom_number","ligand_c_max_atom","ligand_c_max_atom=P","ligand_c_max_Mulliken_charge","ligand_c_max_APT_charge","ligand_c_max_NPA_charge","ligand_c_max_NPA_core","ligand_c_max_NPA_valence","ligand_c_max_NPA_Rydberg","ligand_c_max_NPA_total","ligand_c_max_NMR_shift","ligand_c_max_NMR_anisotropy","ligand_c_max_ES_root_Mulliken_charge","ligand_c_max_ES_root_NPA_charge","ligand_c_max_ES_root_NPA_core","ligand_c_max_ES_root_NPA_valence","ligand_c_max_ES_root_NPA_Rydberg","ligand_c_max_ES_root_NPA_total","ligand_c_max-1_atom_number","ligand_c_max-1_atom","ligand_c_max-1_atom=C","ligand_c_max-1_atom=H","ligand_c_max-1_atom=P","ligand_c_max-1_Mulliken_charge","ligand_c_max-1_APT_charge","ligand_c_max-1_NPA_charge","ligand_c_max-1_NPA_core","ligand_c_max-1_NPA_valence","ligand_c_max-1_NPA_Rydberg","ligand_c_max-1_NPA_total","ligand_c_max-1_NMR_shift","ligand_c_max-1_NMR_anisotropy","ligand_c_max-1_ES_root_Mulliken_charge","ligand_c_max-1_ES_root_NPA_charge","ligand_c_max-1_ES_root_NPA_core","ligand_c_max-1_ES_root_NPA_valence","ligand_c_max-1_ES_root_NPA_Rydberg","ligand_c_max-1_ES_root_NPA_total","ligand_c_min_%VBur","ligand_c_min+1_%VBur","ligand_c_max_%VBur","ligand_c_max-1_%VBur"
"AmPhos-8","CC(C)(C)P(C(C)(C)C)C1=CC=C(N(C)C)C=C1","C16H28NP",46,0,1,"met",3.2145,265.3777,1988.037,6490.7886,-0.18822,0.00335,0.092435,0.095785,0.095785,-1022.65947282,0.411591,0.433499,0.434443,0.362125,-1022.247882,-1022.225974,-1022.22503,-1022.297348,3.9447,2878.203,6480.9854,"271.56","0.0478","0.000","263.31","0.0159","0.000","253.97","0.0672","0.000","244.99","0.4504","0.000","201.47","0.0974","0.000","199.72","0.0326","0.000","194.84","0.0816","0.000","189.96","0.0103","0.000","186.53","0.3364","0.000","185.75","0.1921","0.000","14","N",1,0,0,"-0.470881","-0.967323","-0.44176","1.99933","5.43140","0.01103","7.44176","202.4257","84.1514","-0.418387","-0.30170","1.99933","5.29173","0.01064","7.30170","7","C",1,0,"-0.448506","0.007572","-0.67731","1.99935","4.66633","0.01164","6.67731","163.1661","30.0516","-0.446535","-0.67787","1.99934","4.66669","0.01184","6.67787","5","P",1,"0.361999","0.584829","0.84445","9.99855","4.11806","0.03894","14.15555","323.4109","54.2643","0.402318","0.94295","9.99828","4.01656","0.04220","14.05705","13","C",1,0,0,"0.363607","0.693910","0.18529","1.99904","3.79737","0.01831","5.81471","49.7820","154.0316","0.339217","0.15413","1.99903","3.82640","0.02044","5.84587",0.6620161073021765,0.5975868985958503,0.8019520373641508,0.6780934702553816
"CataCXiumA-5","CCCCP(C12C[C@@H]3C[C@@H](C[C@H](C2)C3)C1)C45C[C@H]6C[C@@H](C5)C[C@@H](C4)C6","C24H39P",64,0,1,"met",1.1545,358.5459,3128.781,9567.8573,-0.20039,0.05074,0.074825,0.125565,0.125565,-1279.4282568,0.594303,0.616419,0.617364,0.544435,-1278.833954,-1278.811837,-1278.810893,-1278.883822,1.7153,2970.762,9574.5211,"205.89","0.0609","0.000","198.38","0.1135","0.000","192.18","0.0228","0.000","175.69","0.0005","0.000","170.72","0.0583","0.000","169.47","0.0619","0.000","163.64","0.0210","0.000","162.84","0.0181","0.000","161.23","0.0107","0.000","160.64","0.0015","0.000","4","C",0,1,0,"-0.482792","-0.111645","-0.76623","1.99934","4.75420","0.01269","6.76623","171.4515","13.1375","-0.472431","-0.81970","1.99929","4.80135","0.01905","6.81970","1","C",1,0,"-0.446658","0.082790","-0.67806","1.99946","4.67095","0.00764","6.67806","176.3041","18.7402","-0.445159","-0.67996","1.99946","4.67267","0.00782","6.67996","5","P",1,"0.415052","0.356517","0.85055","9.99869","4.11553","0.03523","14.14945","350.7647","72.7801","0.419574","1.09437","9.99771","3.83439","0.07353","13.90563","40","H",0,1,0,"0.162522","-0.004557","0.24463","0.00000","0.75410","0.00126","0.75537","30.6154","6.9943","0.173726","0.25079","0.00000","0.74784","0.00137","0.74921",0.7375827071045776,0.45492649920661055,0.8186880632316398,0.6243226250711056
"dppf-4","[c-]1(P(C2=CC=CC=C2)C3=CC=CC=C3)cccc1.[c-]4(P(C5=CC=CC=C5)C6=CC=CC=C6)cccc4.[Fe+2]","C34H28FeP2",65,0,1,"met",2.3599,554.3897,4765.918,21977.2958,-0.19412,-0.01893,0.106525,0.08759499999999999,0.08759499999999999,-3258.80815585,0.517469,0.549338,0.550283,0.448458,-3258.290687,-3258.258817,-3258.257873,-3258.359698,2.4016,4640.499,21979.0115,"525.80","0.0010","0.000","525.70","0.0001","0.000","465.50","0.0002","0.000","461.50","0.0007","0.000","351.37","0.0001","0.000","348.91","0.0003","0.000","298.78","0.0001","0.000","297.67","0.0076","0.000","296.60","0.0012","0.000","294.94","0.0001","0.000","13","C",0,1,0,"-0.218570","-0.136143","-0.46784","1.99861","4.44090","0.02833","6.46784","110.9565","83.5407","-0.215864","-0.47978","1.99864","4.45325","0.02789","6.47978","2","C",1,0,"-0.218577","-0.136132","-0.46784","1.99861","4.44090","0.02833","6.46784","110.9553","83.5391","-0.215870","-0.47979","1.99864","4.45326","0.02789","6.47979","18","P",1,"0.376430","0.738886","0.92561","9.99829","4.03251","0.04359","14.07439","375.5315","53.1464","0.374468","0.92358","9.99829","4.03472","0.04341","14.07642","19","P",0,0,1,"0.376442","0.738866","0.92561","9.99829","4.03251","0.04359","14.07439","375.5304","53.1533","0.374479","0.92358","9.99829","4.03472","0.04341","14.07642",0.8228496152809797,0.8228795545043561,0.7212358911409839,0.7212059519176073
"dtbpf-4","CC(C)(P(C(C)(C)C)[c-]1cccc1)C.CC(C)(P(C(C)(C)C)[c-]2cccc2)C.[Fe+2]","C26H44FeP2",73,0,1,"met",1.5964,474.4281,4060.11,14221.1933,-0.18924,-0.00095,0.095095,0.09414499999999999,0.09414499999999999,-2963.58390405,0.645984,0.680851,0.681795,0.582823,-2962.93792,-2962.903053,-2962.902109,-2963.001081,1.5572,4060.11,14222.7693,"539.15","0.0002","0.000","537.40","0.0002","0.000","472.15","0.0002","0.000","471.32","0.0013","0.000","355.67","0.0001","0.000","355.56","0.0003","0.000","268.07","0.0162","0.000","267.07","0.0001","0.000","264.09","0.0099","0.000","263.89","0.0622","0.000","42","C",0,1,0,"-0.453861","0.011238","-0.67680","1.99935","4.66581","0.01164","6.67680","163.4390","30.1595","-0.453964","-0.67705","1.99935","4.66597","0.01172","6.67705","52","C",1,0,"-0.453865","0.011248","-0.67680","1.99935","4.66580","0.01164","6.67680","163.4378","30.1652","-0.453968","-0.67704","1.99935","4.66597","0.01172","6.67704","19","P",1,"0.429990","0.441274","0.88185","9.99842","4.08111","0.03861","14.11815","332.9511","34.4449","0.428552","0.87987","9.99843","4.08318","0.03851","14.12013","47","P",0,0,1,"0.430004","0.441256","0.88184","9.99842","4.08112","0.03861","14.11816","332.9449","34.4525","0.428567","0.87986","9.99843","4.08319","0.03852","14.12014",0.5921678991646957,0.5921080207179426,0.8019819765875272,0.8021017334810335
"P(Cy)3-10","P(C1CCCCC1)(C2CCCCC2)C3CCCCC3","C18H33P",52,0,1,"met",1.0986,280.4325,2687.358,6092.8977,-0.2008,0.04784,0.07648,0.12432,0.12432,-1047.15040651,0.486683,0.505703,0.506648,0.440351,-1046.663723,-1046.644703,-1046.643759,-1046.710055,1.3571,3067.388,6096.6928,"210.77","0.0767","0.000","198.61","0.0690","0.000","185.73","0.0279","0.000","173.22","0.0088","0.000","172.71","0.0196","0.000","170.88","0.0090","0.000","165.13","0.0037","0.000","161.06","0.0306","0.000","158.72","0.0063","0.000","153.75","0.0769","0.000","9","C",0,1,0,"-0.273661","-0.030712","-0.53751","1.99923","4.52361","0.01466","6.53751","150.5724","22.7333","-0.237179","-0.52792","1.99916","4.51013","0.01863","6.52792","16","C",1,0,"-0.290979","-0.008795","-0.52666","1.99920","4.51164","0.01581","6.52666","145.8794","32.9245","-0.247868","-0.53176","1.99913","4.51008","0.02254","6.53176","1","P",1,"0.403097","0.302142","0.77080","9.99871","4.19820","0.03229","14.22920","369.9001","73.2185","0.344003","0.93020","9.99781","3.99124","0.08075","14.06980","39","H",0,1,0,"0.156035","-0.018144","0.23842","0.00000","0.76027","0.00131","0.76158","29.7789","4.7774","0.144577","0.22949","0.00000","0.76899","0.00153","0.77051",0.7911739169485943,0.7971018831771504,0.8330289512290051,0.5220801772402024
"P(o-Tol)3-30","CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C","C21H21P",43,0,1,"met",1.2173,304.3707,3105.639,6701.2289,-0.20309,-0.02238,0.112735,0.09035499999999999,0.09035499999999999,-1154.23532259,0.358406,0.378817,0.379761,0.308856,-1153.876916,-1153.856506,-1153.855561,-1153.926467,5.3834,2471.835,6705.9722,"301.08","0.0090","0.000","276.05","0.0426","0.000","262.00","0.0560","0.000","259.90","0.0072","0.000","252.22","0.1079","0.000","250.27","0.0374","0.000","243.35","0.0407","0.000","237.01","0.0427","0.000","233.88","0.0335","0.000","230.44","0.0675","0.000","1","C",0,1,0,"-0.539969","0.031649","-0.69611","1.99938","4.68949","0.00723","6.69611","166.4694","25.8208","-0.554785","-0.69635","1.99938","4.68971","0.00725","6.69635","22","C",1,0,"-0.547926","0.034646","-0.69045","1.99937","4.68318","0.00790","6.69045","167.5856","22.2754","-0.544104","-0.68151","1.99938","4.67432","0.00780","6.68151","8","P",1,"0.371298","0.636840","0.87694","9.99850","4.08389","0.04067","14.12306","360.1666","50.8894","0.514015","1.26207","9.99763","3.69373","0.04657","13.73793","25","H",0,1,0,"0.183971","0.013890","0.25458","0.00000","0.74468","0.00074","0.74542","29.0558","5.1267","0.154517","0.22985","0.00000","0.76862","0.00153","0.77015",0.4887877608454837,0.5478877877907847,0.7774617526421365,0.42468788359629944
"P(Ph)3","P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3","C18H15P",34,0,1,"met",1.413,262.2903,2699.682,5470.5751,-0.21146,-0.01885,0.11515500000000001,0.096305,0.096305,-1036.29823272,0.27422,0.290143,0.291087,0.227727,-1036.024013,-1036.00809,-1036.007146,-1036.070506,3.7713,2076.678,5475.9568,"274.97","0.1271","0.000","274.76","0.1285","0.000","260.58","0.0022","0.000","245.14","0.0002","0.000","245.08","0.0002","0.000","240.68","0.0085","0.000","228.45","0.0146","0.000","224.87","0.0005","0.000","224.80","0.0004","0.000","220.69","0.0009","0.000","2","C",0,1,0,"-0.094619","-0.157468","-0.36207","1.99893","4.33990","0.02324","6.36207","56.1606","179.4228","-0.129784","-0.47760","1.99887","4.45255","0.02618","6.47760","14","C",1,0,"-0.094558","-0.157460","-0.36196","1.99893","4.33979","0.02324","6.36196","56.1046","179.4567","-0.108448","-0.43963","1.99887","4.41649","0.02427","6.43963","1","P",1,"0.334435","0.676221","0.90090","9.99843","4.05876","0.04192","14.09910","361.4428","39.6670","0.450688","1.24228","9.99750","3.70998","0.05025","13.75772","34","H",0,1,0,"0.147384","0.044668","0.24518","0.00000","0.75337","0.00145","0.75482","25.3972","12.2175","0.130789","0.23644","0.00000","0.76222","0.00134","0.76356",0.7320439507799167,0.7324331606838118,0.7028831472111613,0.5225891440376037
"SPhos-28","COC1=CC=CC(OC)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2","C26H35O2P",64,0,1,"met",1.2703,410.5351,3919.075,11140.9469,-0.1945,-0.00479,0.099645,0.09485500000000001,0.09485500000000001,-1503.63881397,0.561456,0.589675,0.590619,0.501861,-1503.077358,-1503.049139,-1503.048194,-1503.136953,6.0645,4341.721,11144.2062,"286.78","0.0225","0.000","269.74","0.0255","0.000","253.88","0.0103","0.000","250.33","0.0160","0.000","248.12","0.0232","0.000","245.75","0.0096","0.000","234.42","0.0301","0.000","232.59","0.0043","0.000","232.10","0.0083","0.000","224.21","0.0283","0.000","30","O",0,0,1,"-0.511058","-0.827266","-0.52374","1.99974","6.51269","0.01131","8.52374","234.6616","92.3525","-0.490872","-0.50557","1.99974","6.49426","0.01158","8.50557","28","O",0,1,"-0.509487","-0.824449","-0.52006","1.99973","6.50894","0.01138","8.52006","234.3531","94.6587","-0.494000","-0.50848","1.99973","6.49717","0.01158","8.50848","7","P",1,"0.416445","0.480705","0.85567","9.99862","4.10854","0.03718","14.14433","379.7014","41.2339","0.560154","1.26717","9.99761","3.69214","0.04308","13.73283","27","C",1,0,0,"0.372773","0.578790","0.35873","1.99873","3.62099","0.02155","5.64127","39.4427","124.5469","0.355950","0.35019","1.99871","3.62938","0.02173","5.64981",0.6388730876321068,0.6536630639801203,0.8234184605251339,0.7096194724708841
"Xantphos-16","CC1(C)C2=C(OC3=C1C=CC=C3P(C4=CC=CC=C4)C5=CC=CC=C5)C(P(C6=CC=CC=C6)C7=CC=CC=C7)=CC=C2","C39H32OP2",74,0,1,"met",3.1193,578.6287,4405.315,19788.2746,-0.19806,-0.02689,0.112475,0.08558500000000001,0.08558500000000001,-2263.34660556,0.595855,0.631961,0.632905,0.524365,-2262.750751,-2262.714644,-2262.7137,-2262.822241,5.5631,5518.746,19791.9516,"313.16","0.0090","0.000","301.84","0.0860","0.000","292.83","0.0105","0.000","285.97","0.0753","0.000","282.46","0.0014","0.000","278.21","0.0672","0.000","276.30","0.0275","0.000","275.77","0.0149","0.000","271.88","0.0466","0.000","267.77","0.0520","0.000","6","O",0,0,1,"-0.566681","-0.994543","-0.49234","1.99968","6.48190","0.01075","8.49234","165.7194","184.4026","-0.586891","-0.51180","1.99969","6.50157","0.01054","8.51180","1","C",1,0,"-0.437745","0.001148","-0.65558","1.99939","4.64683","0.00936","6.65558","154.1314","38.4423","-0.433638","-0.65562","1.99939","4.64665","0.00958","6.65562","27","P",1,"0.431079","0.697657","0.93423","9.99842","4.02584","0.04152","14.06577","373.2746","39.6027","0.399808","0.94662","9.99828","4.01087","0.04423","14.05338","13","P",0,0,1,"0.364187","0.699756","0.90647","9.99845","4.05081","0.04428","14.09353","342.0236","50.4211","0.491304","1.23394","9.99764","3.71960","0.04881","13.76606",0.7530313463668752,0.5463309481752043,0.7674620520343702,0.7175234274422921
"XPhos-8","CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C","C33H49P",83,0,1,"met",0.9004,476.7239,4261.934,15658.9005,-0.19985,-0.01342,0.106635,0.093215,0.093215,-1628.38608434,0.75177,0.787346,0.78829,0.685762,-1627.634314,-1627.598738,-1627.597794,-1627.700323,5.7761,4382.554,15662.8823,"287.79","0.0510","0.000","274.90","0.0084","0.000","258.34","0.0215","0.000","246.76","0.0008","0.000","244.77","0.0118","0.000","243.92","0.0101","0.000","240.73","0.0175","0.000","236.16","0.0047","0.000","230.80","0.0068","0.000","228.79","0.0284","0.000","29","C",0,1,0,"-0.462342","0.051114","-0.66833","1.99942","4.66026","0.00866","6.66833","166.1596","15.5817","-0.455025","-0.66906","1.99942","4.66066","0.00899","6.66906","30","C",1,0,"-0.459864","0.046531","-0.66480","1.99940","4.65710","0.00830","6.66480","162.6286","31.8463","-0.449248","-0.65289","1.99941","4.64537","0.00811","6.65289","7","P",1,"0.414376","0.430693","0.83569","9.99861","4.12768","0.03802","14.16431","351.4421","58.5788","0.556083","1.22983","9.99770","3.72855","0.04392","13.77017","67","H",0,1,0,"0.193865","0.010183","0.23946","0.00000","0.75962","0.00092","0.76054","29.3372","9.5470","0.150353","0.21344","0.00000","0.78540","0.00117","0.78656",0.5567198586868656,0.54905541750247,0.8486871650549384,0.6149815873776234
